,model_name,pres.aic.tt,delta_aic,tss.tt
1,Null,10613,-1552,0.113
2,T+O,9482,-421,0.136
3,T+MI,9540,-480,0.134
4,T+S,9733,-672,0.131
5,T+Z,9590,-529,0.130
6,T+O+Z,9119,-58,0.139
7,T+O+S,9368,-307,0.138
8,T+O+S+Z,9061,-1,0.144
9,T+O+T:O,9482,-421,0.136
10,T+O+MI,9458,-398,0.136
11,T+O+MI+S+Z,9061,0,0.144
12,T+O+T:O+S+Z,9061,-1,0.144
13,MI+S,9518,-457,0.133
14,MI+Z,9237,-176,0.137
15,MI+S+Z,9186,-125,0.143
16,T:O+S,9644,-583,0.135
17,T:O+Z,9369,-308,0.137
18,T:O+S+Z,9368,-307,0.137